iter,R,remLev,crc,refresh,objective,elapsed_s
0,5,9,0,0,14.737966,187.242
1,5,15,0,1,6.837592,324.153
2,5,9,0,0,4.926883,477.345
3,5,15,0,1,4.229777,604.569
4,5,9,0,0,4.037562,752.904
5,5,15,1,1,3.694101,899.112
6,5,9,0,0,3.559844,1056.51
7,5,15,0,1,3.366062,1194.7
8,5,9,0,0,3.296620,1376.72
9,5,15,0,1,3.210795,1554.95
10,5,9,1,0,3.176528,1756.77
11,5,15,0,1,3.127253,1910.07
12,5,9,0,0,3.096326,2076.14
13,5,15,0,1,3.054177,2206.91
14,5,9,0,0,3.023772,2380.71
15,5,15,1,1,2.990215,2479.23
16,5,9,0,0,2.965967,2565.05
17,5,15,0,1,2.941872,2647.45
18,5,9,0,0,2.923128,2742.17
19,5,15,0,1,2.906295,2818.36
20,5,9,1,0,2.892665,2912.04
21,5,15,0,1,2.879519,2993.92
22,5,9,0,0,2.868179,3083.92
23,5,15,0,1,2.857122,3164.8
